rr1,rr_turns,ra1,ra_turns,rd1,rd_turns,ir1,ir_turns,ia1,ia_turns,id1,id_turns,nr1,nr_turns,na1,na_turns,nd1,nd_turns,cr1,cr_turns,ca1,ca_turns,cd1,cd_turns,ur1,ur_turns,ua1,ua_turns,ud1,ud_turns,sr1,sr_turns,sa1,sa_turns,sd1,sd_turns,pr1,pr_turns,pa1,pa_turns,pd1,pd_turns,fr1,fr_turns,fa1,fa_turns,fd1,fd_turns,er1,er_turns,ea1,ea_turns,ed1,ed_turns,mr1,mr_turns,ma1,ma_turns,md1,md_turns
0,30,0,55,1,150,0,80,0,300,0,50,0,75,0,110,0,70,1,90,0,425,0,45,0,30,0,50,0,90,0,50,0,125,0,130,0,70,0,45,0,85,0,195,0,110,0,45,1,125,0,180,0,125,0,100,0,35,0,85
1,375,0,260,0,25,0,190,0,35,0,35,1,160,0,10,0,85,1,95,0,25,0,430,1,80,0,25,0,55,0,95,0,65,0,25,1,100,0,20,1,290,1,345,0,90,0,150,0,80,0,30,0,140,0,70,0,55,1,90
1,190,0,160,1,250,1,170,0,80,0,35,0,55,0,135,0,25,0,135,0,35,1,125,0,75,0,85,0,120,1,85,0,185,0,80,0,1265,1,205,0,165,0,375,0,130,0,195,0,70,0,25,0,35,0,135,0,40,0,120
0,25,0,45,0,90,1,80,0,90,0,60,0,45,0,30,0,40,0,55,0,180,0,55,0,80,0,55,1,350,0,75,0,85,0,85,0,190,0,235,1,225,0,115,0,55,0,135,0,35,0,95,0,80,1,90,0,55,0,80
0,75,0,290,0,355,1,50,0,410,0,60,0,285,0,60,0,20,0,35,0,190,0,30,0,25,0,100,0,65,1,115,0,115,1,530,0,285,0,130,0,90,0,100,1,515,0,95,0,30,0,50,1,200,0,85,0,80,0,60
0,20,0,60,0,165,0,85,0,210,0,80,1,495,0,150,0,20,0,20,0,110,0,30,0,25,1,250,0,30,1,310,0,20,0,380,0,70,0,205,0,440,1,70,0,75,0,20,0,45,0,325,0,25,0,85,0,635,0,25
1,115,0,165,0,100,0,85,0,145,1,140,0,170,0,440,1,175,0,85,0,50,0,60,0,85,0,60,1,220,1,110,0,65,0,130,0,80,1,120,0,150,1,195,1,805,0,70,1,55,0,30,1,255,1,170,0,25,0,25
1,190,0,120,0,35,1,110,0,140,0,110,1,95,0,40,0,25,0,45,0,105,0,75,0,30,0,30,0,100,1,75,0,635,0,95,1,225,0,80,0,75,0,105,0,190,0,80,1,40,0,35,0,165,0,15,0,100,0,25
0,85,0,685,1,275,1,90,1,365,1,445,0,45,1,640,0,35,0,30,0,140,1,235,1,80,0,80,0,40,1,285,0,65,0,50,1,75,0,435,0,95,1,80,0,95,0,170,0,20,0,20,0,95,0,50,0,325,0,30
0,25,1,450,0,15,0,100,0,1035,0,70,0,40,0,30,0,50,0,45,1,230,0,55,0,50,0,55,0,40,1,50,0,135,0,180,0,1585,0,70,1,95,1,55,0,250,0,35,0,40,0,75,0,155,0,55,0,65,0,50
0,100,0,220,0,35,0,55,0,235,0,120,1,225,0,140,0,115,0,115,0,45,0,20,1,70,0,55,0,30,1,240,0,160,0,60,1,100,0,55,0,85,0,50,0,140,0,210,0,30,0,100,0,205,1,40,0,65,0,40
0,35,0,100,0,30,1,230,0,170,0,180,0,200,0,65,0,30,0,90,0,105,0,105,0,125,0,145,0,60,1,120,1,915,0,115,1,90,0,385,1,310,1,145,1,190,0,70,1,130,1,600,1,165,0,45,1,250,0,30
0,15,0,75,0,205,1,60,0,95,0,25,0,165,0,35,0,100,0,75,0,115,0,30,0,10,0,25,0,185,0,75,0,80,0,15,0,170,0,170,0,235,0,385,0,500,0,320,0,30,0,160,0,115,0,75,0,235,0,115
0,60,0,60,0,130,1,220,0,135,0,160,0,30,1,300,0,25,0,30,0,215,0,70,0,45,0,25,0,40,0,50,0,210,1,360,0,60,0,75,1,110,1,195,1,255,0,35,0,55,1,390,0,35,1,80,1,165,0,60
